direccion,latitud,longitud
"a barrela 12, 27520 lugo, carballedo, españa",42.53844,-7.81412
"Rúa Quiroga Ballesteros 12, 27346 lugo, a cruz do incio o incio, españa",42.6556492,-7.364913
"Rúa Quiroga Ballesteros 17, 27346 lugo, a cruz do incio o incio, españa",42.6561621,-7.364192999999999
"a ermida 27514, 27514 lugo, chantada, españa",42.5477378,-7.802977299999999
"feira do monte s/n 27377, 27377 lugo, cospeito, españa",43.235591,-7.557355599999999
"27377 a feira do monte 3, 27377 lugo, cospeito, españa",43.23612,-7.55813
"27377 a feira do monte 1, 27377 lugo, cospeito, españa",43.23601,-7.55804
"avenida terra cha 72, 27377 lugo, cospeito, españa",43.23711100000001,-7.559750099999999
"Avenida de Asturias 14, 27100 lugo, a fonsagrada, españa",43.1265171,-7.0663775
"Calle Buron 2, 27100 lugo, a fonsagrada, españa",43.1261154,-7.0672368
"Avenida de Galicia 60 i, 27100 lugo, a fonsagrada, españa",43.1245317,-7.0701385
"Avenida de Galicia 34, 27100 lugo, a fonsagrada, españa",43.1256573,-7.0702225
"Avenida de Galicia 34, 27100 lugo, a fonsagrada, españa",43.1256573,-7.0702225
"Avenida de Galicia 36, 27100 lugo, a fonsagrada, españa",43.1256,-7.0701883
"calle ejercito espanol s/n, 27100 lugo, a fonsagrada, españa",43.12471,-7.068857400000001
"Calle Buron 3, 27100 lugo, a fonsagrada, españa",43.1265812,-7.0674509
"Avenida de Asturias 14, 27100 lugo, a fonsagrada, españa",43.1265171,-7.0663775
"calle coto de pedreira 0 s/n, 27100 lugo, a fonsagrada, españa",43.1196191,-7.065825100000001
"calle rois de la pena 4, 27100 lugo, a fonsagrada, españa",43.1271165,-7.0670313
"as rodas km., 27100 lugo, a fonsagrada, españa",43.12471,-7.068857400000001
"san pedro s/n, 27111 lugo, a fonsagrada, españa",43.12471,-7.068857400000001
"calle brana 4, 27112 lugo, a fonsagrada, españa",43.2165464,-7.0821162
"calle brana 10, 27112 lugo, a fonsagrada, españa",43.2165464,-7.0821162
"vilarchao s/n, 27113 lugo, a fonsagrada, españa",43.20918,-7.0112057
